time,energy
379364803.471992,993
379364804.901588,11131
379364805.67049,1505
379364806.966927,3922
379364807.101739,168
379364805.880895,673
379364808.419232,1450
379364810.901589,12864
379364811.943839,2927
379364812.414894,1361
379364814.355608,1626
379364814.308698,176
379364816.195392,1593
379364817.438849,6883
379364820.475451,2321
379364818.73563,2554
379364822.592733,2690
379364823.087733,6429
379364823.139852,758
379364825.007748,558
379364823.899999,12915
379364826.797758,238
379364826.192115,8676
379364826.571326,12965
379364830.755093,3110
379364832.868217,88
379364831.647336,13157
379364835.489635,1339
379364835.028087,5752
379364837.870831,1539
379364838.236059,6224
379364841.410032,212
379364840.58085,4935
379364843.014107,3535
379364842.319166,5536
379364845.199261,699
379364846.823284,91
379364844.681556,12967
379364847.46711,1488
379364848.087176,659
379364851.205086,5248
379364850.171476,136
379364851.041813,569
379364854.118522,199
379364854.419499,6025
379364855.936273,86
379364855.304206,1349
379364858.144569,4724
379364857.447353,1832
379364860.527229,2110
379364863.714774,12915
379364864.539733,710
379364862.966658,2629
379364866.770277,2800
379364868.874749,3809
379364867.818695,2054
379364869.898427,718
379364872.283507,12962
379364872.367217,13029
379364874.222086,541
379364874.50846,1251
379364876.212011,12924
379364877.903869,2503
379364877.066033,5151
379364880.392566,1980
379364879.750197,8469
379364883.291362,127
379364883.023534,89
379364884.399822,186
379364888.535601,4127
379364887.056061,1640
379364889.9818,2433
379364892.12595,1539
379364892.301898,8246
379364891.158331,537
379364895.981992,2696
379364894.824175,2521
379364897.652573,96
379364897.30439,2843
379364901.124591,2220
379364899.125841,1117
379364902.324883,1159
379364903.818083,4363
379364904.056955,6597
379364905.763196,4181
379364905.689148,803
379364907.895058,2843
379364907.228791,3381
379364906.976453,4430
379364911.534335,8342
379364910.120139,5759
379364913.441265,84
379364913.289429,444
379364915.833532,3505
379364915.749415,223
379364915.850984,4786
379364919.041867,8916
379364918.66898,9231
379364921.872535,12701
379364920.965723,10969
379364921.279457,4958
379364924.102516,883
379364924.147781,13038
379364925.949009,12869
379364927.001042,2507
379364928.500703,257
379364929.74498,1219
379364928.440898,7519
379364930.73075,13180
379364931.509617,2467
